"No.","Time","Source","Destination","Protocol","Length","Info"
"2","0.001584","127.0.0.1","127.0.0.1","TCP","74","8080  >  54092 [SYN, ACK] Seq=0 Ack=1 Win=65483 Len=0 MSS=65495 SACK_PERM=1 TSval=3651835892 TSecr=3651835890 WS=128"
"5","1.174996","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=1 Ack=18 Win=65536 Len=0 TSval=3651837065 TSecr=3651837065"
"6","1.865006","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=1 Ack=18 Win=65536 Len=1368 TSval=3651837755 TSecr=3651837065"
"9","2.506143","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=1369 Ack=177 Win=65408 Len=0 TSval=3651838396 TSecr=3651838396"
"10","3.218877","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=1369 Ack=177 Win=65536 Len=1368 TSval=3651839109 TSecr=3651838396"
"13","3.917899","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=2737 Ack=336 Win=65408 Len=0 TSval=3651839808 TSecr=3651839808"
"14","4.433610","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=2737 Ack=336 Win=65536 Len=1368 TSval=3651840324 TSecr=3651839808"
"17","5.004273","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=4105 Ack=495 Win=65408 Len=0 TSval=3651840895 TSecr=3651840895"
"18","5.546817","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=4105 Ack=495 Win=65536 Len=1368 TSval=3651841437 TSecr=3651840895"
"21","6.143158","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=5473 Ack=654 Win=65408 Len=0 TSval=3651842033 TSecr=3651842033"
"22","6.842141","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=5473 Ack=654 Win=65536 Len=1368 TSval=3651842732 TSecr=3651842033"
"25","7.500689","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=6841 Ack=813 Win=65408 Len=0 TSval=3651843391 TSecr=3651843391"
"26","8.091542","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=6841 Ack=813 Win=65536 Len=1368 TSval=3651843982 TSecr=3651843391"
"29","8.725478","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=8209 Ack=972 Win=65408 Len=0 TSval=3651844616 TSecr=3651844616"
"30","9.287770","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=8209 Ack=972 Win=65536 Len=1368 TSval=3651845178 TSecr=3651844616"
"33","10.012258","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=9577 Ack=1131 Win=65408 Len=0 TSval=3651845903 TSecr=3651845903"
"34","10.578112","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=9577 Ack=1131 Win=65536 Len=1368 TSval=3651846468 TSecr=3651845903"
"37","11.165804","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=10945 Ack=1290 Win=65408 Len=0 TSval=3651847056 TSecr=3651847056"
"38","11.839542","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=10945 Ack=1290 Win=65536 Len=1368 TSval=3651847730 TSecr=3651847056"
"41","12.483009","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=12313 Ack=1449 Win=65408 Len=0 TSval=3651848373 TSecr=3651848373"
"42","13.180031","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=12313 Ack=1449 Win=65536 Len=1368 TSval=3651849070 TSecr=3651848373"
"45","13.844528","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=13681 Ack=1608 Win=65408 Len=0 TSval=3651849735 TSecr=3651849735"
"46","14.431786","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=13681 Ack=1608 Win=65536 Len=1368 TSval=3651850322 TSecr=3651849735"
"49","15.016972","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=15049 Ack=1767 Win=65408 Len=0 TSval=3651850907 TSecr=3651850907"
"50","15.560813","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=15049 Ack=1767 Win=65536 Len=1368 TSval=3651851451 TSecr=3651850907"
"53","16.167857","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=16417 Ack=1926 Win=65408 Len=0 TSval=3651852058 TSecr=3651852058"
"54","16.703296","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=16417 Ack=1926 Win=65536 Len=1368 TSval=3651852594 TSecr=3651852058"
"57","17.330256","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=17785 Ack=2085 Win=65408 Len=0 TSval=3651853221 TSecr=3651853221"
"58","17.972346","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=17785 Ack=2085 Win=65536 Len=1368 TSval=3651853863 TSecr=3651853221"
"61","18.561146","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=19153 Ack=2244 Win=65408 Len=0 TSval=3651854451 TSecr=3651854451"
"62","19.089621","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=19153 Ack=2244 Win=65536 Len=1368 TSval=3651854980 TSecr=3651854451"
"65","19.678869","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=20521 Ack=2403 Win=65408 Len=0 TSval=3651855569 TSecr=3651855569"
"66","20.244378","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=20521 Ack=2403 Win=65536 Len=1368 TSval=3651856135 TSecr=3651855569"
"69","20.820010","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=21889 Ack=2562 Win=65408 Len=0 TSval=3651856710 TSecr=3651856710"
"70","21.337573","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=21889 Ack=2562 Win=65536 Len=1368 TSval=3651857228 TSecr=3651856710"
"73","21.917201","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=23257 Ack=2721 Win=65408 Len=0 TSval=3651857808 TSecr=3651857808"
"74","22.414787","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=23257 Ack=2721 Win=65536 Len=1368 TSval=3651858305 TSecr=3651857808"
"77","23.010659","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=24625 Ack=2880 Win=65408 Len=0 TSval=3651858901 TSecr=3651858901"
